Feature,Importance,Q
CA,0.011103927942665787,Q1
IL,0.05202271666384903,Q2
GA,0.015138016978042687,Q2
MS,0.01274583403317336,Q2
AZ,0.0026757527241432575,Q3
MA,0.02357302932877463,Q4
AZ,0.015225010074861845,Q4
CA,0.0008582502301614167,Q4
